Date,#1,#2,#3,#4,#5,#6,#7,PB
05/07/18,7,20,23,29,32,33,34,16
28/06/18,2,4,7,17,25,28,34,3
21/06/18,2,5,9,13,24,31,35,16
14/06/18,2,6,7,14,16,29,31,15
07/06/18,14,22,23,24,30,32,34,9
31/05/18,8,9,18,27,29,30,32,6
24/05/18,2,12,14,18,19,23,25,17
17/05/18,3,9,16,25,26,31,34,9
10/05/18,6,14,15,24,26,32,35,14
03/05/18,1,3,6,16,19,20,24,13
26/04/18,9,14,15,19,24,34,35,12
19/04/18,4,5,9,13,25,32,33,7
